 20240911-153436,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.732657 - logloss: 0.459310,[test] AUC: 0.729998 - logloss: 0.456502
 20240911-153524,[command] python run_expid.py --config ./config/ --expid toys-split-moe1 --gpu 1,[exp_id] toys-split-moe1,[dataset_id] toys-split-moe1,[train] N.A.,[val] AUC: 0.735312 - logloss: 0.457337,[test] AUC: 0.732144 - logloss: 0.455040
 20240911-155849,[command] python run_expid.py --config ./config/ --expid toys-split-moe-7 --gpu 1,[exp_id] toys-split-moe-7,[dataset_id] toys-split-moe-7,[train] N.A.,[val] AUC: 0.735958 - logloss: 0.457428,[test] AUC: 0.733076 - logloss: 0.455029
 20240911-155916,[command] python run_expid.py --config ./config/ --expid toys-split-moe-8 --gpu 2,[exp_id] toys-split-moe-8,[dataset_id] toys-split-moe-8,[train] N.A.,[val] AUC: 0.735037 - logloss: 0.456933,[test] AUC: 0.732019 - logloss: 0.454482
 20240911-160159,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 3,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.735963 - logloss: 0.457403,[test] AUC: 0.733115 - logloss: 0.454941
 20240911-160515,[command] python run_expid.py --config ./config/ --expid toys-split-moe-9 --gpu 3,[exp_id] toys-split-moe-9,[dataset_id] toys-split-moe-9,[train] N.A.,[val] AUC: 0.735212 - logloss: 0.457661,[test] AUC: 0.732283 - logloss: 0.454981
 20240911-160641,[command] python run_expid.py --config ./config/ --expid toys-split-moe-8 --gpu 2,[exp_id] toys-split-moe-8,[dataset_id] toys-split-moe-8,[train] N.A.,[val] AUC: 0.735037 - logloss: 0.456933,[test] AUC: 0.732019 - logloss: 0.454482
 20240911-160829,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.732757 - logloss: 0.459432,[test] AUC: 0.729364 - logloss: 0.456984
 20240911-161010,[command] python run_expid.py --config ./config/ --expid toys-split-moe-8 --gpu 2,[exp_id] toys-split-moe-8,[dataset_id] toys-split-moe-8,[train] N.A.,[val] AUC: 0.735037 - logloss: 0.456933,[test] AUC: 0.732019 - logloss: 0.454482
 20240911-161107,[command] python run_expid.py --config ./config/ --expid toys-split-moe-9 --gpu 3,[exp_id] toys-split-moe-9,[dataset_id] toys-split-moe-9,[train] N.A.,[val] AUC: 0.735212 - logloss: 0.457661,[test] AUC: 0.732283 - logloss: 0.454981
 20240911-161150,[command] python run_expid.py --config ./config/ --expid toys-split-moe-7 --gpu 1,[exp_id] toys-split-moe-7,[dataset_id] toys-split-moe-7,[train] N.A.,[val] AUC: 0.735958 - logloss: 0.457428,[test] AUC: 0.733076 - logloss: 0.455029
 20240911-161416,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 5,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.732757 - logloss: 0.459432,[test] AUC: 0.729364 - logloss: 0.456984
 20240911-161459,[command] python run_expid.py --config ./config/ --expid toys-split-moe-8 --gpu 7,[exp_id] toys-split-moe-8,[dataset_id] toys-split-moe-8,[train] N.A.,[val] AUC: 0.735037 - logloss: 0.456933,[test] AUC: 0.732019 - logloss: 0.454482
 20240911-161557,[command] python run_expid.py --config ./config/ --expid toys-split-moe-9 --gpu 5,[exp_id] toys-split-moe-9,[dataset_id] toys-split-moe-9,[train] N.A.,[val] AUC: 0.735212 - logloss: 0.457661,[test] AUC: 0.732283 - logloss: 0.454981
 20240911-161558,[command] python run_expid.py --config ./config/ --expid toys-split-moe-7 --gpu 6,[exp_id] toys-split-moe-7,[dataset_id] toys-split-moe-7,[train] N.A.,[val] AUC: 0.735958 - logloss: 0.457428,[test] AUC: 0.733076 - logloss: 0.455029
 20240911-161918,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 1,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.734674 - logloss: 0.457962,[test] AUC: 0.731213 - logloss: 0.455456
 20240911-161938,[command] python run_expid.py --config ./config/ --expid toys-split-moe-7 --gpu 3,[exp_id] toys-split-moe-7,[dataset_id] toys-split-moe-7,[train] N.A.,[val] AUC: 0.720452 - logloss: 0.465649,[test] AUC: 0.717606 - logloss: 0.462689
 20240911-162026,[command] python run_expid.py --config ./config/ --expid toys-split-moe-8 --gpu 0,[exp_id] toys-split-moe-8,[dataset_id] toys-split-moe-8,[train] N.A.,[val] AUC: 0.717251 - logloss: 0.544145,[test] AUC: 0.714838 - logloss: 0.541131
 20240911-162029,[command] python run_expid.py --config ./config/ --expid toys-split-moe-9 --gpu 7,[exp_id] toys-split-moe-9,[dataset_id] toys-split-moe-9,[train] N.A.,[val] AUC: 0.713669 - logloss: 0.550883,[test] AUC: 0.709990 - logloss: 0.547937
 20240911-162220,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 1,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.727678 - logloss: 0.461608,[test] AUC: 0.723912 - logloss: 0.459088
 20240911-162305,[command] python run_expid.py --config ./config/ --expid toys-split-moe-8 --gpu 0,[exp_id] toys-split-moe-8,[dataset_id] toys-split-moe-8,[train] N.A.,[val] AUC: 0.716798 - logloss: 0.466963,[test] AUC: 0.714657 - logloss: 0.463932
 20240911-162309,[command] python run_expid.py --config ./config/ --expid toys-split-moe-9 --gpu 7,[exp_id] toys-split-moe-9,[dataset_id] toys-split-moe-9,[train] N.A.,[val] AUC: 0.718680 - logloss: 0.466893,[test] AUC: 0.714346 - logloss: 0.464963
 20240911-162324,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 3,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.728481 - logloss: 0.461311,[test] AUC: 0.724681 - logloss: 0.458916
 20240911-162353,[command] python run_expid.py --config ./config/ --expid toys-split-moe-7 --gpu 3,[exp_id] toys-split-moe-7,[dataset_id] toys-split-moe-7,[train] N.A.,[val] AUC: 0.716200 - logloss: 0.467654,[test] AUC: 0.713638 - logloss: 0.464316
 20240911-164452,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 1,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.727312 - logloss: 0.461097,[test] AUC: 0.725209 - logloss: 0.458374
 20240911-164500,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 3,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.736799 - logloss: 0.456277,[test] AUC: 0.732908 - logloss: 0.454406
 20240911-164509,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 4,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.724586 - logloss: 0.462985,[test] AUC: 0.722370 - logloss: 0.459480
 20240911-165028,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.733348 - logloss: 0.458323,[test] AUC: 0.730881 - logloss: 0.455849
 20240911-165242,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 1,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.728613 - logloss: 0.461504,[test] AUC: 0.724623 - logloss: 0.459722
 20240911-165246,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 3,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.730426 - logloss: 0.459962,[test] AUC: 0.729956 - logloss: 0.456240
 20240911-165334,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 4,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.725892 - logloss: 0.461916,[test] AUC: 0.724854 - logloss: 0.458346
 20240911-165344,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.719268 - logloss: 0.465465,[test] AUC: 0.717006 - logloss: 0.462607
 20240911-165442,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.720520 - logloss: 0.544366,[test] AUC: 0.715854 - logloss: 0.545797
 20240911-165738,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 1,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.720494 - logloss: 0.468519,[test] AUC: 0.716949 - logloss: 0.466596
 20240911-165836,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 3,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.743867 - logloss: 0.453767,[test] AUC: 0.741771 - logloss: 0.451367
 20240911-165909,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 4,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.730658 - logloss: 0.460152,[test] AUC: 0.726634 - logloss: 0.458205
 20240911-165914,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.730164 - logloss: 0.459980,[test] AUC: 0.727874 - logloss: 0.457210
 20240911-165915,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.730274 - logloss: 0.460724,[test] AUC: 0.727181 - logloss: 0.458140
 20240911-170206,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.734361 - logloss: 0.462674,[test] AUC: 0.731263 - logloss: 0.461211
 20240911-170226,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.738912 - logloss: 0.456841,[test] AUC: 0.735856 - logloss: 0.454955
 20240911-170229,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.738524 - logloss: 0.459593,[test] AUC: 0.735395 - logloss: 0.457934
 20240911-170232,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.738836 - logloss: 0.462088,[test] AUC: 0.735453 - logloss: 0.460683
 20240911-170237,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.739475 - logloss: 0.460471,[test] AUC: 0.735449 - logloss: 0.459363
 20240911-170241,[command] python run_expid.py --config ./config/ --expid toys-split-moe-5 --gpu 5,[exp_id] toys-split-moe-5,[dataset_id] toys-split-moe-5,[train] N.A.,[val] AUC: 0.736894 - logloss: 0.461705,[test] AUC: 0.733940 - logloss: 0.459974
 20240911-170418,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.733779 - logloss: 0.457278,[test] AUC: 0.729968 - logloss: 0.455413
 20240911-170421,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.734039 - logloss: 0.457679,[test] AUC: 0.732884 - logloss: 0.454208
 20240911-170423,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.732364 - logloss: 0.458608,[test] AUC: 0.730703 - logloss: 0.455254
 20240911-170426,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.730280 - logloss: 0.459541,[test] AUC: 0.728013 - logloss: 0.456657
 20240911-170429,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.730916 - logloss: 0.459409,[test] AUC: 0.729956 - logloss: 0.455853
 20240911-170431,[command] python run_expid.py --config ./config/ --expid toys-split-moe-5 --gpu 5,[exp_id] toys-split-moe-5,[dataset_id] toys-split-moe-5,[train] N.A.,[val] AUC: 0.729984 - logloss: 0.459599,[test] AUC: 0.727440 - logloss: 0.456994
 20240911-170550,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.736495 - logloss: 0.464100,[test] AUC: 0.735155 - logloss: 0.462206
 20240911-170551,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.735755 - logloss: 0.458507,[test] AUC: 0.732741 - logloss: 0.457073
 20240911-170551,[command] python run_expid.py --config ./config/ --expid toys-split-moe-5 --gpu 5,[exp_id] toys-split-moe-5,[dataset_id] toys-split-moe-5,[train] N.A.,[val] AUC: 0.737555 - logloss: 0.460908,[test] AUC: 0.735286 - logloss: 0.459194
 20240911-170551,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.739158 - logloss: 0.459803,[test] AUC: 0.737861 - logloss: 0.457346
 20240911-170551,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.738459 - logloss: 0.460554,[test] AUC: 0.736328 - logloss: 0.458426
 20240911-170551,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.737941 - logloss: 0.462192,[test] AUC: 0.736826 - logloss: 0.459600
 20240911-170712,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.729698 - logloss: 0.522060,[test] AUC: 0.726814 - logloss: 0.521531
 20240911-170715,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.731890 - logloss: 0.521704,[test] AUC: 0.730775 - logloss: 0.520572
 20240911-170718,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.730347 - logloss: 0.514688,[test] AUC: 0.729538 - logloss: 0.513141
 20240911-170721,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.727430 - logloss: 0.526869,[test] AUC: 0.726581 - logloss: 0.526133
 20240911-171047,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.736286 - logloss: 0.564018,[test] AUC: 0.734008 - logloss: 0.562770
 20240911-171056,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.743523 - logloss: 0.518519,[test] AUC: 0.739003 - logloss: 0.518907
 20240911-171059,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.744956 - logloss: 0.509108,[test] AUC: 0.743556 - logloss: 0.508171
 20240911-171102,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.741561 - logloss: 0.533347,[test] AUC: 0.738477 - logloss: 0.533088
 20240911-171105,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.743864 - logloss: 0.507957,[test] AUC: 0.741603 - logloss: 0.507211
 20240911-171115,[command] python run_expid.py --config ./config/ --expid toys-split-moe-5 --gpu 5,[exp_id] toys-split-moe-5,[dataset_id] toys-split-moe-5,[train] N.A.,[val] AUC: 0.746767 - logloss: 0.511413,[test] AUC: 0.744286 - logloss: 0.510614
 20240911-171335,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.737251 - logloss: 0.618636,[test] AUC: 0.735447 - logloss: 0.617788
 20240911-171355,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.744375 - logloss: 0.529809,[test] AUC: 0.740759 - logloss: 0.531181
 20240911-171417,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.742378 - logloss: 0.574840,[test] AUC: 0.739422 - logloss: 0.574630
 20240911-171419,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.743259 - logloss: 0.556566,[test] AUC: 0.740769 - logloss: 0.558213
 20240911-171437,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.744437 - logloss: 0.545623,[test] AUC: 0.742686 - logloss: 0.546263
 20240911-171448,[command] python run_expid.py --config ./config/ --expid toys-split-moe-5 --gpu 5,[exp_id] toys-split-moe-5,[dataset_id] toys-split-moe-5,[train] N.A.,[val] AUC: 0.745796 - logloss: 0.545912,[test] AUC: 0.743059 - logloss: 0.545673
 20240911-171746,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.744900 - logloss: 0.574851,[test] AUC: 0.742101 - logloss: 0.575227
 20240911-171748,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.743555 - logloss: 0.544737,[test] AUC: 0.740860 - logloss: 0.545408
 20240911-171807,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.739675 - logloss: 0.512880,[test] AUC: 0.736260 - logloss: 0.513052
 20240911-171821,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.744535 - logloss: 0.570141,[test] AUC: 0.740651 - logloss: 0.571084
 20240911-171824,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.740374 - logloss: 0.587267,[test] AUC: 0.738058 - logloss: 0.588933
 20240911-171842,[command] python run_expid.py --config ./config/ --expid toys-split-moe-5 --gpu 5,[exp_id] toys-split-moe-5,[dataset_id] toys-split-moe-5,[train] N.A.,[val] AUC: 0.746427 - logloss: 0.563817,[test] AUC: 0.744815 - logloss: 0.563729
 20240911-172241,[command] python run_expid.py --config ./config/ --expid toys-split-moe-6 --gpu 1,[exp_id] toys-split-moe-6,[dataset_id] toys-split-moe-6,[train] N.A.,[val] AUC: 0.744965 - logloss: 0.555660,[test] AUC: 0.742758 - logloss: 0.555867
 20240911-172524,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.735407 - logloss: 0.457421,[test] AUC: 0.731525 - logloss: 0.456107
